N,Wide_Area,Narrow_Area,Wide_Error,Narrow_Error
100,0.972214,0.975,2.93234,3.22734
600,1.08564,0.95625,14.9411,1.2422
1100,0.839639,0.919318,11.1039,2.66792
1600,1.06336,0.916406,12.5822,2.97622
2100,0.833326,0.943452,11.7723,0.112735
2600,0.867514,0.950481,8.15269,0.63139
3100,1.07884,0.955242,14.2217,1.13547
3600,0.980315,0.954167,3.7901,1.02163
4100,0.905819,0.939939,4.09719,0.484709
4600,0.889787,0.944565,5.79454,0.0050853
5100,0.907399,0.943627,3.92982,0.0942
5600,1.01562,0.940402,7.52753,0.435715
6100,0.927587,0.945082,1.79243,0.0597958
6600,0.916238,0.960227,2.99407,1.66329
7100,0.911964,0.945951,3.44657,0.151773
7600,0.973493,0.943257,3.06777,0.133466
8100,0.941007,0.937809,0.371666,0.710262
8600,0.895341,0.93939,5.2065,0.542886
9100,0.963667,0.940247,2.02744,0.452076
9600,0.938794,0.950911,0.605964,0.676988
10100,0.930822,0.939975,1.44993,0.480874
10600,0.969462,0.927712,2.64102,1.77921
11100,0.930172,0.943694,1.51879,0.0871866
11600,0.930308,0.94375,1.5044,0.0812252
12100,0.923201,0.942045,2.25682,0.261693
12600,0.927461,0.949107,1.80582,0.485958
13100,0.925458,0.948092,2.01785,0.378439
13600,0.924318,0.946415,2.1386,0.200976
14100,0.970835,0.945745,2.78633,0.12996
14600,0.948241,0.94512,0.394278,0.063808
15100,0.909116,0.947848,3.74804,0.352614
15600,0.954764,0.947115,1.08483,0.275082
16100,0.936586,0.943634,0.839719,0.0935553
16600,0.913061,0.944277,3.33042,0.025418
17100,0.938669,0.937939,0.619131,0.696503
17600,0.959509,0.945526,1.5872,0.106762
18100,0.969528,0.947928,2.64799,0.361136
18600,0.949738,0.94422,0.552717,0.0314188
19100,0.934038,0.94699,1.10951,0.261757
19600,0.949892,0.948469,0.569093,0.418436
20100,0.967377,0.942226,2.42023,0.242538
20600,0.958999,0.94199,1.53325,0.267533
21100,0.951479,0.940936,0.737096,0.379153
21600,0.926304,0.950463,1.92836,0.629504
22100,0.924263,0.943326,2.14442,0.126138
22600,0.926614,0.944192,1.89546,0.0343782
23100,0.976001,0.942965,3.33337,0.164297
23600,0.942141,0.948252,0.251589,0.395433
24100,0.937117,0.940923,0.783479,0.380507
24600,0.950872,0.942937,0.672845,0.167302
25100,0.940452,0.944721,0.430395,0.0215909
25600,0.957023,0.951758,1.32402,0.766596
26100,0.983761,0.945929,4.1549,0.149487
26600,0.966731,0.947462,2.35189,0.311823
27100,0.970061,0.938284,2.70444,0.659919
27600,0.944738,0.943116,0.0233779,0.148356
28100,0.974289,0.941103,3.15212,0.361453
28600,0.956237,0.94458,1.24079,0.00669482
29100,0.930452,0.947208,1.48916,0.284878
29600,0.913749,0.945481,3.25751,0.102087
30100,0.932808,0.943023,1.23967,0.158169
30600,0.946479,0.943219,0.207656,0.137449
31100,0.949706,0.943087,0.549336,0.151439
31600,0.954369,0.947508,1.04307,0.316641
32100,0.943138,0.945561,0.146015,0.110486
32600,0.923603,0.944939,2.21428,0.0446222
33100,0.937848,0.947508,0.706059,0.316603
33600,0.953695,0.949405,0.971719,0.517468
34100,0.943988,0.942339,0.056023,0.230644
